trial,condition,category,angle_deg,repetition,observed,detected,predicted_angle_deg,onset_ms,hud_ms,false_positive_count,negative_minutes,notes
45,quiet,siren,0,5,0,,,,,,,
46,quiet,siren,45,1,0,,,,,,,
47,quiet,siren,45,2,0,,,,,,,
48,quiet,siren,45,3,0,,,,,,,
49,quiet,siren,45,4,0,,,,,,,
50,quiet,siren,45,5,0,,,,,,,
51,quiet,siren,90,1,0,,,,,,,
52,quiet,siren,90,2,0,,,,,,,
53,quiet,siren,90,3,0,,,,,,,
54,quiet,siren,90,4,0,,,,,,,
55,quiet,siren,90,5,0,,,,,,,
56,quiet,siren,135,1,0,,,,,,,
57,quiet,siren,135,2,0,,,,,,,
58,quiet,siren,135,3,0,,,,,,,
59,quiet,siren,135,4,0,,,,,,,
60,quiet,siren,135,5,0,,,,,,,
61,quiet,siren,180,1,0,,,,,,,
62,quiet,siren,180,2,0,,,,,,,
63,quiet,siren,180,3,0,,,,,,,
64,quiet,siren,180,4,0,,,,,,,
65,quiet,siren,180,5,0,,,,,,,
66,quiet,siren,225,1,0,,,,,,,
67,quiet,siren,225,2,0,,,,,,,
68,quiet,siren,225,3,0,,,,,,,
69,quiet,siren,225,4,0,,,,,,,
70,quiet,siren,225,5,0,,,,,,,
71,quiet,siren,270,1,0,,,,,,,
72,quiet,siren,270,2,0,,,,,,,
73,quiet,siren,270,3,0,,,,,,,
74,quiet,siren,270,4,0,,,,,,,
75,quiet,siren,270,5,0,,,,,,,
76,quiet,siren,315,1,0,,,,,,,
77,quiet,siren,315,2,0,,,,,,,
78,quiet,siren,315,3,0,,,,,,,
79,quiet,siren,315,4,0,,,,,,,
80,quiet,siren,315,5,0,,,,,,,
81,quiet,shout,0,1,0,,,,,,,
82,quiet,shout,0,2,0,,,,,,,
83,quiet,shout,0,3,0,,,,,,,
84,quiet,shout,0,4,0,,,,,,,
85,quiet,shout,0,5,0,,,,,,,
86,quiet,shout,45,1,0,,,,,,,
87,quiet,shout,45,2,0,,,,,,,
88,quiet,shout,45,3,0,,,,,,,
89,quiet,shout,45,4,0,,,,,,,
90,quiet,shout,45,5,0,,,,,,,
91,quiet,shout,90,1,0,,,,,,,
92,quiet,shout,90,2,0,,,,,,,
93,quiet,shout,90,3,0,,,,,,,
94,quiet,shout,90,4,0,,,,,,,
95,quiet,shout,90,5,0,,,,,,,
96,quiet,shout,135,1,0,,,,,,,
97,quiet,shout,135,2,0,,,,,,,
98,quiet,shout,135,3,0,,,,,,,
99,quiet,shout,135,4,0,,,,,,,
100,quiet,shout,135,5,0,,,,,,,
101,quiet,shout,180,1,0,,,,,,,
102,quiet,shout,180,2,0,,,,,,,
103,quiet,shout,180,3,0,,,,,,,
104,quiet,shout,180,4,0,,,,,,,
105,quiet,shout,180,5,0,,,,,,,
106,quiet,shout,225,1,0,,,,,,,
107,quiet,shout,225,2,0,,,,,,,
108,quiet,shout,225,3,0,,,,,,,
109,quiet,shout,225,4,0,,,,,,,
110,quiet,shout,225,5,0,,,,,,,
111,quiet,shout,270,1,0,,,,,,,
112,quiet,shout,270,2,0,,,,,,,
113,quiet,shout,270,3,0,,,,,,,
114,quiet,shout,270,4,0,,,,,,,
115,quiet,shout,270,5,0,,,,,,,
116,quiet,shout,315,1,0,,,,,,,
117,quiet,shout,315,2,0,,,,,,,
118,quiet,shout,315,3,0,,,,,,,
119,quiet,shout,315,4,0,,,,,,,
120,quiet,shout,315,5,0,,,,,,,
121,traffic_noise,horn,0,1,0,,,,,,,
122,traffic_noise,horn,0,2,0,,,,,,,
123,traffic_noise,horn,0,3,0,,,,,,,
124,traffic_noise,horn,0,4,0,,,,,,,
125,traffic_noise,horn,0,5,0,,,,,,,
126,traffic_noise,horn,45,1,0,,,,,,,
127,traffic_noise,horn,45,2,0,,,,,,,
128,traffic_noise,horn,45,3,0,,,,,,,
129,traffic_noise,horn,45,4,0,,,,,,,
130,traffic_noise,horn,45,5,0,,,,,,,
131,traffic_noise,horn,90,1,0,,,,,,,
132,traffic_noise,horn,90,2,0,,,,,,,
133,traffic_noise,horn,90,3,0,,,,,,,
134,traffic_noise,horn,90,4,0,,,,,,,
135,traffic_noise,horn,90,5,0,,,,,,,
136,traffic_noise,horn,135,1,0,,,,,,,
137,traffic_noise,horn,135,2,0,,,,,,,
138,traffic_noise,horn,135,3,0,,,,,,,
139,traffic_noise,horn,135,4,0,,,,,,,
140,traffic_noise,horn,135,5,0,,,,,,,
141,traffic_noise,horn,180,1,0,,,,,,,
142,traffic_noise,horn,180,2,0,,,,,,,
143,traffic_noise,horn,180,3,0,,,,,,,
144,traffic_noise,horn,180,4,0,,,,,,,
145,traffic_noise,horn,180,5,0,,,,,,,
146,traffic_noise,horn,225,1,0,,,,,,,
147,traffic_noise,horn,225,2,0,,,,,,,
148,traffic_noise,horn,225,3,0,,,,,,,
149,traffic_noise,horn,225,4,0,,,,,,,
150,traffic_noise,horn,225,5,0,,,,,,,
151,traffic_noise,horn,270,1,0,,,,,,,
152,traffic_noise,horn,270,2,0,,,,,,,
153,traffic_noise,horn,270,3,0,,,,,,,
154,traffic_noise,horn,270,4,0,,,,,,,
155,traffic_noise,horn,270,5,0,,,,,,,
156,traffic_noise,horn,315,1,0,,,,,,,
157,traffic_noise,horn,315,2,0,,,,,,,
158,traffic_noise,horn,315,3,0,,,,,,,
159,traffic_noise,horn,315,4,0,,,,,,,
160,traffic_noise,horn,315,5,0,,,,,,,
161,traffic_noise,siren,0,1,0,,,,,,,
162,traffic_noise,siren,0,2,0,,,,,,,
163,traffic_noise,siren,0,3,0,,,,,,,
164,traffic_noise,siren,0,4,0,,,,,,,
165,traffic_noise,siren,0,5,0,,,,,,,
166,traffic_noise,siren,45,1,0,,,,,,,
167,traffic_noise,siren,45,2,0,,,,,,,
168,traffic_noise,siren,45,3,0,,,,,,,
169,traffic_noise,siren,45,4,0,,,,,,,
170,traffic_noise,siren,45,5,0,,,,,,,
171,traffic_noise,siren,90,1,0,,,,,,,
172,traffic_noise,siren,90,2,0,,,,,,,
173,traffic_noise,siren,90,3,0,,,,,,,
174,traffic_noise,siren,90,4,0,,,,,,,
175,traffic_noise,siren,90,5,0,,,,,,,
176,traffic_noise,siren,135,1,0,,,,,,,
177,traffic_noise,siren,135,2,0,,,,,,,
178,traffic_noise,siren,135,3,0,,,,,,,
179,traffic_noise,siren,135,4,0,,,,,,,
180,traffic_noise,siren,135,5,0,,,,,,,
181,traffic_noise,siren,180,1,0,,,,,,,
182,traffic_noise,siren,180,2,0,,,,,,,
183,traffic_noise,siren,180,3,0,,,,,,,
184,traffic_noise,siren,180,4,0,,,,,,,
185,traffic_noise,siren,180,5,0,,,,,,,
186,traffic_noise,siren,225,1,0,,,,,,,
187,traffic_noise,siren,225,2,0,,,,,,,
188,traffic_noise,siren,225,3,0,,,,,,,
189,traffic_noise,siren,225,4,0,,,,,,,
190,traffic_noise,siren,225,5,0,,,,,,,
191,traffic_noise,siren,270,1,0,,,,,,,
192,traffic_noise,siren,270,2,0,,,,,,,
193,traffic_noise,siren,270,3,0,,,,,,,
194,traffic_noise,siren,270,4,0,,,,,,,
195,traffic_noise,siren,270,5,0,,,,,,,
196,traffic_noise,siren,315,1,0,,,,,,,
197,traffic_noise,siren,315,2,0,,,,,,,
198,traffic_noise,siren,315,3,0,,,,,,,
199,traffic_noise,siren,315,4,0,,,,,,,
200,traffic_noise,siren,315,5,0,,,,,,,
201,traffic_noise,shout,0,1,0,,,,,,,
202,traffic_noise,shout,0,2,0,,,,,,,
203,traffic_noise,shout,0,3,0,,,,,,,
204,traffic_noise,shout,0,4,0,,,,,,,
205,traffic_noise,shout,0,5,0,,,,,,,
206,traffic_noise,shout,45,1,0,,,,,,,
207,traffic_noise,shout,45,2,0,,,,,,,
208,traffic_noise,shout,45,3,0,,,,,,,
209,traffic_noise,shout,45,4,0,,,,,,,
210,traffic_noise,shout,45,5,0,,,,,,,
211,traffic_noise,shout,90,1,0,,,,,,,
212,traffic_noise,shout,90,2,0,,,,,,,
213,traffic_noise,shout,90,3,0,,,,,,,
214,traffic_noise,shout,90,4,0,,,,,,,
215,traffic_noise,shout,90,5,0,,,,,,,
216,traffic_noise,shout,135,1,0,,,,,,,
217,traffic_noise,shout,135,2,0,,,,,,,
218,traffic_noise,shout,135,3,0,,,,,,,
219,traffic_noise,shout,135,4,0,,,,,,,
220,traffic_noise,shout,135,5,0,,,,,,,
221,traffic_noise,shout,180,1,0,,,,,,,
222,traffic_noise,shout,180,2,0,,,,,,,
223,traffic_noise,shout,180,3,0,,,,,,,
224,traffic_noise,shout,180,4,0,,,,,,,
225,traffic_noise,shout,180,5,0,,,,,,,
226,traffic_noise,shout,225,1,0,,,,,,,
227,traffic_noise,shout,225,2,0,,,,,,,
228,traffic_noise,shout,225,3,0,,,,,,,
229,traffic_noise,shout,225,4,0,,,,,,,
230,traffic_noise,shout,225,5,0,,,,,,,
231,traffic_noise,shout,270,1,0,,,,,,,
232,traffic_noise,shout,270,2,0,,,,,,,
233,traffic_noise,shout,270,3,0,,,,,,,
234,traffic_noise,shout,270,4,0,,,,,,,
235,traffic_noise,shout,270,5,0,,,,,,,
236,traffic_noise,shout,315,1,0,,,,,,,
237,traffic_noise,shout,315,2,0,,,,,,,
238,traffic_noise,shout,315,3,0,,,,,,,
239,traffic_noise,shout,315,4,0,,,,,,,
240,traffic_noise,shout,315,5,0,,,,,,,
negative-10min,quiet,negative,,,0,,,,,,,
